"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          35,      -3.898048583,     -0.9481307911,      -1.978404904,        1.54951918,      -6.950002025,          1021.356,    0.008316179951,    -0.03241076782,                 0,                 0,                 0,   -0.004469351566,    0.008316179951,    -0.03241076782,                 0,      -3.897314394,   0.0001500018564
          0,           0,          36,      -3.893457407,     -0.9556217729,      -1.994198367,       1.557334969,      -6.948161525,          1021.356,    0.008250717735,    -0.02756085265,                 0,                 0,                 0,   -0.005757781848,    0.008250717735,    -0.02756085265,                 0,      -3.340418801,   0.0001500018564
          0,           0,          37,      -3.890397389,     -0.9635370267,      -2.009379779,       1.563317451,      -6.946423166,          1021.356,    0.008183923968,    -0.02333476667,                 0,                 0,                 0,   -0.006921968843,    0.008183923968,    -0.02333476667,                 0,       -2.85129319,   0.0001500018564
          0,           0,          38,      -3.889078818,     -0.9718864392,      -2.022252337,       1.567176249,      -6.944762803,          1021.356,    0.008115452253,    -0.01985810697,                 0,                 0,                 0,   -0.007913206593,    0.008115452253,    -0.01985810697,                 0,      -2.446950132,   0.0001500018564
          0,           0,          39,      -3.889515698,     -0.9805875649,      -2.031784114,       1.568882698,      -6.943154626,          1021.356,    0.008045055291,    -0.01719488525,                 0,                 0,                 0,   -0.008699322183,    0.008045055291,    -0.01719488525,                 0,       -2.13732344,   0.0001500018564
          0,           0,          40,      -3.891488373,     -0.9894713876,      -2.037954575,       1.568688035,      -6.941591097,          1021.356,    0.007972633577,    -0.01535513127,                 0,                 0,                 0,   -0.009264343859,    0.007972633577,    -0.01535513127,                 0,      -1.925979806,   0.0001500018564
          0,           0,          41,      -3.894624023,     -0.9982861905,      -2.041596943,       1.567024618,      -6.940089147,          1021.356,    0.007898264483,    -0.01430556146,                 0,                 0,                 0,   -0.009606546985,    0.007898264483,    -0.01430556146,                 0,      -1.811228466,   0.0001500018564
          0,           0,          42,      -3.898544421,      -1.006709536,      -2.043910717,        1.56434498,      -6.938714692,          1021.356,    0.007822206975,    -0.01398131507,                 0,                 0,                 0,   -0.009735489718,    0.007822206975,    -0.01398131507,                 0,      -1.787387512,   0.0001500018564
          0,           0,          43,      -3.903022757,      -1.014379737,       -2.04601557,         1.5609554,      -6.937450463,          1021.356,    0.007744882474,    -0.01429697356,                 0,                 0,                 0,   -0.009668735597,    0.007744882474,    -0.01429697356,                 0,      -1.845989737,   0.0001500018564
          0,           0,          44,      -3.908093054,      -1.020953014,      -2.048767668,       1.556897965,      -6.936247483,          1021.356,    0.007666840846,    -0.01515485549,                 0,                 0,                 0,   -0.009429149997,    0.007666840846,    -0.01515485549,                 0,      -1.976675374,   0.0001500018564
          0,           0,          45,      -3.914063737,       -1.02617726,      -2.052748509,       1.551929075,      -6.935068799,          1021.356,    0.007588727161,    -0.01644879597,                 0,                 0,                 0,    -0.00904364203,    0.007588727161,    -0.01644879597,                 0,      -2.167530289,   0.0001500018564
          0,           0,          46,      -3.921410546,      -1.029952384,      -2.058098025,       1.545621427,      -6.933882451,          1021.356,    0.007511256493,    -0.01806393939,                 0,                 0,                 0,   -0.008543370533,    0.007511256493,    -0.01806393939,                 0,      -2.404915796,   0.0001500018564
          0,           0,          47,        -3.9305877,       -1.03234379,      -2.064074577,       1.537552945,      -6.932669316,          1021.356,    0.007435182586,    -0.01987663696,                 0,                 0,                 0,   -0.007963986369,    0.007435182586,    -0.01987663696,                 0,      -2.673321969,   0.0001500018564
          0,           0,          48,      -3.941872608,        -1.0335488,      -2.068970961,       1.527466406,      -6.931365431,          1021.356,     0.00736124425,    -0.02175885213,                 0,                 0,                 0,    -0.00734417208,     0.00736124425,    -0.02175885213,                 0,      -2.955866073,   0.0001500018564
          0,           0,          49,      -3.955332759,      -1.033849637,        -2.0710785,       1.515307281,      -6.929775395,          1021.356,    0.007290100008,    -0.02358697233,                 0,                 0,                 0,   -0.006722360811,    0.007290100008,    -0.02358697233,                 0,      -3.235479939,   0.0001500018564
          0,           0,          50,      -3.970874015,      -1.033574817,      -2.070024814,       1.501178264,      -6.927404214,          1021.356,    0.007222277958,    -0.02525079798,                 0,                 0,                 0,   -0.006133205166,    0.007222277958,    -0.02525079798,                 0,      -3.496237354,   0.0001500018564
          0,           0,          51,      -3.988274358,      -1.033064616,      -2.067076619,       1.485306406,      -6.924104914,          1021.356,     0.00715815551,    -0.02665907589,                 0,                 0,                 0,   -0.005605316243,     0.00715815551,    -0.02665907589,                 0,      -3.724294038,   0.0001500018564
          0,           0,          52,      -4.007170119,      -1.032635504,      -2.064258785,       1.468055672,      -6.920643592,          1021.356,    0.007097964805,    -0.02774126112,                 0,                 0,                 0,   -0.005160576231,    0.007097964805,    -0.02774126112,                 0,       -3.90834019,   0.0001500018564
          0,           0,          53,      -4.027026497,      -1.032549041,      -2.063317458,       1.449952465,      -6.917221902,          1021.356,    0.007041811615,    -0.02844733673,                 0,                 0,                 0,   -0.004814418924,    0.007041811615,    -0.02844733673,                 0,      -4.039775314,   0.0001500018564
          0,           0,          54,      -4.047133119,      -1.032992557,      -2.065217258,       1.431683464,      -6.913864204,          1021.356,    0.006989696954,    -0.02874742215,                 0,                 0,                 0,    -0.00457637888,    0.006989696954,    -0.02874742215,                 0,      -4.112828115,   0.0001500018564
          0,           0,          55,      -4.066644711,      -1.034073157,      -2.070130691,       1.414047787,      -6.910667833,          1021.356,    0.006941534743,    -0.02863174649,                 0,                 0,                 0,   -0.004450549507,    0.006941534743,    -0.02863174649,                 0,      -4.124699732,   0.0001500018564
          0,           0,          56,      -4.084664076,      -1.035821348,      -2.077647714,       1.397870806,      -6.907616312,          1021.356,    0.006897162724,    -0.02811052444,                 0,                 0,                 0,   -0.004435932113,    0.006897162724,    -0.02811052444,                 0,      -4.075664961,   0.0001500018564
          0,           0,          57,      -4.100348399,      -1.038199728,      -2.087025015,       1.383903753,      -6.904666485,          1021.356,     0.00685634808,    -0.02721274681,                 0,                 0,                 0,   -0.004526858407,     0.00685634808,    -0.02721274681,                 0,      -3.968985602,   0.0001500018564
          0,           0,          58,      -4.113015301,      -1.041114364,      -2.097405306,       1.372734657,      -6.901840696,          1021.356,    0.006818793767,    -0.02598302822,                 0,                 0,                 0,   -0.004713710348,    0.006818793767,    -0.02598302822,                 0,      -3.810502136,   0.0001500018564
          0,           0,          59,      -4.122237286,      -1.044429672,      -2.107997669,       1.364717467,       -6.89914975,          1021.356,    0.006784152722,    -0.02447655751,                 0,                 0,                 0,   -0.004984011226,    0.006784152722,    -0.02447655751,                 0,      -3.607901902,   0.0001500018564
          0,           0,          60,      -4.127921015,      -1.047987251,       -2.11822128,        1.35991319,      -6.896564157,          1021.356,    0.006752051294,    -0.02275334577,                 0,                 0,                 0,   -0.005323700748,    0.006752051294,    -0.02275334577,                 0,       -3.36984196,   0.0001500018564
          0,           0,          61,      -4.130343832,       -1.05162542,      -2.127782335,       1.358060998,      -6.894039685,          1021.356,    0.006722115504,     -0.0208732855,                 0,                 0,                 0,   -0.005718279374,    0.006722115504,     -0.0208732855,                 0,      -3.105166148,   0.0001500018564
          0,           0,          62,      -4.130105691,      -1.055193758,      -2.136643253,       1.358617683,      -6.891527271,          1021.356,    0.006693992287,     -0.0188927527,                 0,                 0,                 0,   -0.006153635871,    0.006693992287,     -0.0188927527,                 0,      -2.822344557,   0.0001500018564
          0,           0,          63,      -4.128002529,       -1.05856043,      -2.144905341,       1.360864844,      -6.888979765,          1021.356,    0.006667362517,    -0.01686255392,                 0,                 0,                 0,   -0.006616578778,    0.006667362517,    -0.01686255392,                 0,      -2.529119105,   0.0001500018564
          0,           0,          64,      -4.124884252,      -1.061614799,       -2.15268642,       1.364030833,      -6.886413698,          1021.356,    0.006641947071,    -0.01482669043,                 0,                 0,                 0,   -0.007095187259,    0.006641947071,    -0.01482669043,                 0,      -2.232280726,   0.0001500018564
          0,           0,          65,      -4.121553217,      -1.064268744,      -2.160054259,        1.36737896,      -6.883854825,          1021.356,    0.006617508447,    -0.01282157603,                 0,                 0,                 0,   -0.007579071609,    0.006617508447,    -0.01282157603,                 0,      -1.937523184,   0.0001500018564
          0,           0,          66,      -4.118715607,      -1.066458295,      -2.167020231,       1.370250887,      -6.881298703,          1021.356,    0.006593849671,    -0.01087559934,                 0,                 0,                 0,   -0.008059572629,    0.006593849671,    -0.01087559934,                 0,      -1.649355063,   0.0001500018564
          0,           0,          67,      -4.116969822,      -1.068145452,      -2.173564272,       1.372078709,      -6.878734484,          1021.356,    0.006570811451,   -0.009009055145,                 0,                 0,                 0,   -0.008529888416,    0.006570811451,   -0.009009055145,                 0,      -1.371071931,   0.0001500018564
          0,           0,          68,       -4.11681303,      -1.069319441,      -2.179663252,       1.372381541,      -6.876149659,          1021.356,    0.006548268113,   -0.007234476537,                 0,                 0,                 0,   -0.008985108084,    0.006548268113,   -0.007234476537,                 0,      -1.104792353,   0.0001500018564
          0,           0,          69,       -4.11865345,      -1.069996752,      -2.185308626,       1.370756829,      -6.873539313,          1021.356,    0.006526122791,   -0.005557345315,                 0,                 0,                 0,   -0.009422142493,    0.006526122791,   -0.005557345315,                 0,     -0.8515539002,   0.0001500018564
